2026-04-16 00:36:19.346 [main] INFO  Freerouting v1.9.0 (build-date: 2023-10-30)
2026-04-16 00:36:19.376 [main] INFO  Settings were loaded from freerouting.json
2026-04-16 00:36:20.384 [main] INFO  Opening '/home/jason/Documents/LLUPS/.experiments/hierarchical_freerouting_demo/parent_preloaded.dsn'...
2026-04-16 00:36:20.661 [main] WARN  Wiring.read_wire_scope: wire corner outside board at '/3V3'
2026-04-16 00:36:20.662 [main] WARN  Wiring.read_wire_scope: wire corner outside board at '/3V3'
2026-04-16 00:36:20.662 [main] WARN  Wiring.read_wire_scope: wire corner outside board at '/3V3'
2026-04-16 00:36:20.662 [main] WARN  Wiring.read_wire_scope: wire corner outside board at '/3V3'
2026-04-16 00:36:20.663 [main] WARN  Wiring.read_wire_scope: wire corner outside board at '/VSYS_BOOST'
2026-04-16 00:36:20.663 [main] WARN  Wiring.read_wire_scope: wire corner outside board at '/VSYS_BOOST'
2026-04-16 00:36:20.663 [main] WARN  Wiring.read_wire_scope: wire corner outside board at '/VSYS_BOOST'
2026-04-16 00:36:20.663 [main] WARN  Wiring.read_wire_scope: wire corner outside board at '/VSYS_BOOST'
2026-04-16 00:36:20.663 [main] WARN  Wiring.read_wire_scope: wire corner outside board at 'Net-(D1-A)'
2026-04-16 00:36:20.664 [main] WARN  Wiring.read_wire_scope: wire corner outside board at 'Net-(D1-A)'
2026-04-16 00:36:20.664 [main] WARN  Wiring.read_wire_scope: wire corner outside board at 'Net-(D2-A)'
2026-04-16 00:36:20.664 [main] WARN  Wiring.read_wire_scope: wire corner outside board at 'Net-(D2-K)'
2026-04-16 00:36:20.664 [main] WARN  Wiring.read_wire_scope: wire corner outside board at 'Net-(D2-K)'
2026-04-16 00:36:20.665 [main] WARN  Wiring.read_wire_scope: wire corner outside board at 'Net-(D3-A)'
2026-04-16 00:36:20.665 [main] WARN  Wiring.read_wire_scope: wire corner outside board at 'Net-(D3-A)'
2026-04-16 00:36:20.665 [main] WARN  Wiring.read_wire_scope: wire corner outside board at 'Net-(D3-A)'
2026-04-16 00:36:20.665 [main] WARN  Wiring.read_wire_scope: wire corner outside board at 'Net-(U2-ILIM)'
2026-04-16 00:36:20.666 [main] WARN  Wiring.read_wire_scope: wire corner outside board at 'Net-(U2-ISET)'
2026-04-16 00:36:20.666 [main] WARN  Wiring.read_wire_scope: wire corner outside board at 'Net-(U2-TMR)'
2026-04-16 00:36:20.666 [main] WARN  Wiring.read_wire_scope: wire corner outside board at 'Net-(U2-TMR)'
2026-04-16 00:36:20.957 [ForkJoinPool.commonPool-worker-1] INFO  New version available: v2.1.0
